#First villager;
Villageois_A;Villager;Hello Nod. Today is a big day for your friends. You should be proud of them.
#Second villager;
Villageois_B;Villager;You're looking for Nus and Nad? They must already be near the grand ceremony hall at this hour. Don't disturb them too long, they should be concentrating.
#Nod meets Nel in the village;
Nod_Nel_A;Nod;Nel, hi! Did you find Nus and Nad?
Nod_Nel_A;Nel;Nope, let's go look for them. I bet they must be scared as hell, those two sissies. 
#Friends dialog before ceremony;
N_friends_A;Nel;So, how's it going in there!
N_friends_A;Nus;Maaaaaan, I'm so stressed out!! They keep telling us cryptic stuff, we don't get any of it.
N_friends_A;Nel;Nus. You never get any of anything.
N_friends_A;Nus;Yeah, right. But this time's different, the old guy is really creeping us out!!
N_friends_A;Nod;You mean, N the Wise?
N_friends_A;Nad;Yes. He's talking about how we'll be changed after the ceremony. How everything will seem different to us.
N_friends_A;Nus;And we don't even freaking know what they will do to us in that hall! Man, I sooo don't want to go in there.
N_friends_A;Nad;Actually...
N_friends_A;Nod;What?
N_friends_A;Nel;What?
N_friends_A;Nad;N the Wise said not to tell you, but... he said we would not get to fool around with you anymore.
N_friends_A;Nel;Come on Nad, don't make that face, it's not like it's the first time the old man tries to threaten us or scare us into being the perfect little villagers.
N_friends_A;Nad;I know, but... he said we would not even WANT to do it anymore.
N_friends_A;Nus;But that's just impossible right? I mean, we're friends, we hangout together. We always do! How could that change?
N_friends_A;Nod;Hmm.. That's probably just another pathetic attempt to assert his authority.
N_friends_A;Nel;Nod, we should get going, I think the Wise's coming.
N_friends_A;Nod;Right, see you after the ceremony! In the park, the usual spot. You'll tell us everything then.
#N the wise enters the building;
N_friends_Wise_A;N the Wise;Nod, Nel, outside, now. They need to prepare, and you need to find yourselves a better occupation. Make yourself useful somewhere, for a change.
#Nod & Nel outside the building;
Nod_Nel_B;Nel;Hahaha, they really are.
Nod_Nel_B;Nod;What?
Nod_Nel_B;Nel;Sissies.
Nod_Nel_B;Nod;I hope you're right. To be honest I always thought something about this whole first birthday ceremony was weird.
Nod_Nel_B;Nel;Well, they'll figure it out soon enough, I think it just began. Let's join the crowd to see when they'll get out of the hall.
#Nod & Nel after ceremony + villagers;
Nod_Nel_C;Nel;Ah, here they come! NUUUUUS, NAAAAAD, wouuuuuuh!
Nod_Nel_C;Villagers;so rude... don't respect anything... look at them...
Nod_Nel_C;Nod;Haha, Nel, stop. I can actually feel the glares coming our way.
Nod_Nel_C;Nel;WOOOOUUUUH... They're not even looking at us, those bastards!
